Date,Price,Open,High,Low,Vol.,Change %
4/15/2025,"83,647.00","84,586.80","86,438.80","83,602.70",62.45K,-1.11%
4/14/2025,"84,586.40","83,752.80","85,794.90","83,705.20",78.03K,1.02%
4/13/2025,"83,734.40","85,282.50","85,999.50","83,049.60",70.93K,-1.83%
4/12/2025,"85,292.70","83,420.50","85,893.50","82,828.00",55.60K,2.25%
4/11/2025,"83,413.10","79,606.10","84,275.00","79,004.20",94.62K,4.78%
4/10/2025,"79,607.50","82,606.80","82,737.50","78,495.80",92.83K,-3.63%
4/9/2025,"82,607.00","76,312.30","83,566.70","74,657.30",172.18K,8.25%
4/8/2025,"76,312.50","79,166.70","80,839.80","76,255.00",93.88K,-3.60%
4/7/2025,"79,162.50","78,406.60","81,095.90","74,524.20",170.57K,0.98%
4/6/2025,"78,391.30","83,528.00","83,731.70","77,171.10",79.17K,-6.18%
4/5/2025,"83,552.10","83,876.00","84,249.30","82,384.40",32.71K,-0.38%
4/4/2025,"83,866.70","83,160.20","84,704.10","81,691.10",91.54K,0.85%
4/3/2025,"83,159.40","82,522.60","83,908.90","81,313.80",83.15K,0.77%
4/2/2025,"82,525.00","85,166.00","88,377.30","82,358.90",104.05K,-3.10%
4/1/2025,"85,164.20","82,548.60","85,506.20","82,435.80",66.72K,3.17%
3/31/2025,"82,548.80","82,375.40","83,895.60","81,300.10",61.76K,0.22%
3/30/2025,"82,371.60","82,646.80","83,532.90","81,593.20",35.37K,-0.33%
3/29/2025,"82,645.70","84,412.10","84,603.40","81,668.20",39.34K,-2.09%
3/28/2025,"84,410.40","87,209.50","87,507.50","83,596.70",85.25K,-3.23%
3/27/2025,"87,228.20","86,937.00","87,751.40","85,844.40",56.49K,0.36%
3/26/2025,"86,912.00","87,349.80","88,276.70","85,866.40",62.04K,-0.56%
3/25/2025,"87,404.00","87,495.30","88,523.30","86,328.50",75.24K,-0.10%
3/24/2025,"87,490.00","86,076.10","88,740.20","85,541.60",95.71K,1.64%
3/23/2025,"86,077.40","83,840.20","86,082.00","83,812.70",31.13K,2.67%
3/22/2025,"83,840.50","84,076.60","84,526.30","83,688.20",20.84K,-0.28%
3/21/2025,"84,073.30","84,208.70","84,831.00","83,215.90",42.80K,-0.16%
3/20/2025,"84,208.10","86,841.30","87,419.00","83,656.10",69.86K,-3.03%
3/19/2025,"86,841.00","82,719.10","86,990.60","82,557.50",84.61K,4.98%
3/18/2025,"82,719.10","84,019.10","84,019.10","81,171.30",58.17K,-1.55%
3/17/2025,"84,019.10","82,580.30","84,729.20","82,525.00",58.04K,1.74%
3/16/2025,"82,578.40","84,341.30","84,942.50","82,014.20",50.04K,-2.09%
3/15/2025,"84,341.30","83,978.70","84,679.50","83,636.40",38.40K,0.43%
3/14/2025,"83,977.10","81,103.50","85,286.60","80,833.20",81.23K,3.55%
3/13/2025,"81,100.20","83,664.70","84,292.00","79,954.90",79.25K,-3.06%
3/12/2025,"83,664.30","82,921.10","84,266.50","80,646.60",88.61K,0.90%
3/11/2025,"82,921.10","78,579.70","83,572.60","76,677.10",123.59K,5.53%
3/10/2025,"78,575.90","80,702.20","83,902.80","77,480.50",120.23K,-2.62%
3/9/2025,"80,691.60","86,221.50","86,498.60","80,048.90",69.90K,-6.41%
3/8/2025,"86,221.90","86,783.80","86,886.80","85,264.60",41.90K,-0.36%
3/7/2025,"86,531.20","89,879.50","91,059.80","84,864.30",138.11K,-3.78%
3/6/2025,"89,930.90","90,611.70","92,802.00","87,849.60",89.27K,-0.75%
3/5/2025,"90,611.70","87,269.50","90,937.80","86,429.40",95.54K,3.83%
3/4/2025,"87,266.30","86,083.80","88,887.80","81,617.00",132.50K,1.23%
3/3/2025,"86,209.70","94,266.10","94,266.10","85,140.80",143.15K,-8.55%
3/2/2025,"94,265.10","86,065.70","94,986.50","85,069.30",126.76K,9.52%
3/1/2025,"86,071.60","84,353.40","86,546.30","83,837.30",79.51K,2.00%
2/28/2025,"84,381.20","84,713.30","85,028.70","78,329.80",186.90K,-0.39%
2/27/2025,"84,714.60","84,204.60","87,013.90","82,723.50",116.14K,0.60%
2/26/2025,"84,212.70","88,675.00","89,375.30","82,332.90",145.33K,-5.04%
2/25/2025,"88,686.00","91,510.40","92,523.10","86,097.50",195.29K,-3.08%
2/24/2025,"91,508.50","96,261.00","96,497.90","91,378.50",96.46K,-4.93%
2/23/2025,"96,258.80","96,556.20","96,655.20","95,259.50",38.82K,-0.31%
2/22/2025,"96,556.10","96,158.30","96,930.80","95,801.10",45.62K,0.42%
2/21/2025,"96,155.60","98,310.30","99,473.40","94,903.60",104.28K,-2.19%
2/20/2025,"98,310.30","96,645.20","98,721.60","96,441.90",61.84K,1.72%
